RUF_ID	RNAcode_score
CP000800_200988_201111	0.116
CP000800_2128877_2128927	0.875
CP000800_24291_24395	0.518
CP000800_2879070_2879243	0.778
CP000800_2880783_2881050	0.984
CP000800_2979638_2979874	1.000
CP000800_3274930_3275146	0.248
CP000800_3758574_3758721	0.999
CP000800_3772361_3772430	0.530
CP000800_3786034_3786106	0.916
CP000800_3788219_3788317	0.845
CP000800_3788786_3788884	0.520
CP000800_4127608_4127826	0.988
CP000800_4240156_4240208	0.338
CP000800_4242779_4242842	0.317
CP000800_4259063_4259190	0.322
CP000800_4287469_4287601	0.503
CP000800_4360639_4360929	0.104
CP000800_4454567_4454711	0.003
CP000800_4512580_4512698	0.058
CP000800_4512853_4512969	0.788
CP000800_4517517_4517570	0.843
CP000800_4537118_4537306	0.453
CP000800_4732325_4732412	0.585
CP000800_4734075_4734162	0.560
CP000800_4951398_4951472	0.653
CP000800_4978271_4978368	0.665
CP000800_898267_898474	0.576
CP000947_1021925_1022078	0.837
CP000947_1022323_1022473	NA
CP000947_1031118_1031494	0.240
CP000947_1301272_1301350	NA
CP000947_1467905_1468072	NA
CP000947_1536898_1536970	NA
CP000947_1656617_1656682	NA
CP000947_178824_178879	NA
CP000947_1874324_1874604	0.885
CP000947_1942399_1942616	0.140
CP000947_1972598_1972852	NA
CP000947_1974455_1974825	NA
CP000947_1985060_1985114	0.841
CP000947_1994282_1994381	NA
CP000947_2210054_2210317	0.034
CP000947_2218073_2218271	0.994
CP000947_2240513_2240578	NA
CP000947_2241824_2241993	NA
CP000947_2244006_2244092	NA
CP000947_259972_260116	1.161e-05
CP000947_28176_28326	0.795
CP000947_29447_29732	0.479
CP000947_318131_318443	NA
CP000947_471830_471937	0.984
CP000947_56620_56724	0.726
CP000947_607734_607787	NA
CP000947_701219_701381	NA
CP000947_734328_734416	0.264
CP000947_754235_754403	NA
CP000947_764379_764480	0.358
CP000947_771573_771837	NA
CP000947_851440_851719	0.878
CP000947_873144_873212	NA
CP000951_1069517_1069581	NA
CP000951_1222212_1222338	NA
CP000951_1223836_1223941	NA
CP000951_162845_163050	7.466e-07
CP000951_2013124_2013351	NA
CP000951_2013835_2013920	NA
CP000951_2042402_2042578	NA
CP000951_2301123_2301230	NA
CP000951_2301717_2301837	NA
CP000951_2302708_2302888	NA
CP000951_2796491_2796583	NA
CP000951_28852_28952	NA
CP000951_2927734_2927797	NA
CP000951_2935512_2935882	0.944
CP000951_299934_300040	NA
CP000951_986994_987178	NA
CP001503_1051788_1051941	0.258
CP001503_1352979_1353191	0.989
CP001503_1614686_1614814	NA
CP001503_1615028_1615088	NA
CP001503_209110_209212	0.856
CP001503_2338285_2338475	1.000
CP001503_258920_259226	0.123
CP001503_263446_263511	0.285
CP001503_264700_264759	0.172
CP001503_265812_265957	0.849
CP001503_267086_267386	0.103
CP001503_267882_267944	0.541
CP001503_279914_280195	0.840
CP001503_280574_280749	0.765
CP001503_281218_281339	0.885
CP001503_284674_284821	0.657
CP001503_285131_285307	0.574
CP001503_285158_285313	0.362
CP001503_290061_290364	0.509
CP001503_2904716_2905066	0.964
CP001503_2922073_2922379	0.981
CP001503_297026_297175	0.795
CP001503_297797_297921	0.289
CP001503_3280454_3280715	0.982
CP001503_3280914_3281100	0.663
CP001503_3550759_3550912	0.226
CP001503_3561349_3561540	0.842
CP001503_403305_403384	0.811
CP001503_471121_471427	0.540
CP001503_73750_73884	0.673
CP001503_76481_76551	0.452
CP001503_77428_77502	0.932
CP001503_78895_79040	0.378
CP001503_91306_91393	0.279
CP001503_948458_948694	0.994
CP001503_983874_984012	0.040
CP001504_1005984_1006039	NA
CP001504_1043543_1043775	NA
CP001504_1238884_1239011	NA
CP001504_1441391_1441498	NA
CP001504_148426_148625	0.004
CP001504_1603093_1603195	NA
CP001504_1753843_1753963	NA
CP001504_1895830_1895884	NA
CP001504_2009976_2010101	0.006
CP001504_2083434_2083489	NA
CP001504_2094092_2094161	NA
CP001504_2298701_2298841	NA
CP001504_2322479_2322782	NA
CP001504_2339874_2340041	0.475
CP001504_2340969_2341054	NA
CP001504_2406215_2406316	NA
CP001504_2430056_2430233	NA
CP001504_2431524_2431739	NA
CP001504_2629408_2629496	NA
CP001504_2664324_2664499	NA
CP001504_2685115_2685263	NA
CP001504_2695974_2696077	NA
CP001504_318917_319053	NA
CP001504_372106_372172	0.484
CP001504_372363_372669	0.477
CP001504_469839_469905	0.472
CP001504_470096_470402	0.164
CP001504_772335_772444	NA
CP001504_774577_774697	2.038e-07
