#start	end	length	mean	median	max
1840672	1840732	61	2.08	2	4
1843049	1843216	168	1.67	1	5
1848980	1849246	267	10.96	11	26
1850648	1850811	164	2.38	2	6
1852201	1852350	150	4.97	5	9
1853233	1854140	908	1.61	1	5
1856364	1856668	305	0.22	0	2
1857557	1857650	94	3.50	3	9
1863165	1863189	25	36.56	40	42
1868793	1868947	155	10.85	8	33
1869659	1870227	569	948.78	11.5	5808
1871605	1871704	100	4.49	5	9
1872020	1872118	99	2.36	2	5
1872968	1873123	156	0.00	0	0
1874630	1874935	306	1.94	2	6
1876331	1876343	13	5.46	6	7
1877211	1877431	221	0.79	0	6
1877747	1877799	53	2.30	2	3
1879000	1879038	39	5.67	6	9
1880281	1880466	186	7.83	4	34
1881091	1881177	87	1.24	1	2
1883851	1884117	267	17.27	12	51
1885510	1885805	296	0.84	1	3
1887337	1887471	135	7.25	6	16
1888034	1888201	168	4.36	4	16
1891364	1891910	547	4.76	1	44
1892586	1893013	428	374.23	2	4149
1893383	1893412	30	32.13	34	46
1894809	1895075	267	1.27	1	3
1896756	1896893	138	1.49	1	3
1898532	1898620	89	6.58	7	14
1900429	1900566	138	1.57	1	4
1902828	1902840	13	8.92	12	13
1904329	1904336	8	5.50	7	7
1906418	1906497	80	2.83	3	9
1906861	1907240	380	7.92	4	48
1909425	1909471	47	23.70	15.5	43
1910335	1910569	235	0.56	0	4
1910978	1911489	512	2.31	1	24
1911946	1912011	66	26.89	25	54
1913698	1914090	393	7.79	4	31
1915726	1915871	146	0.18	0	1
1919206	1919229	24	3.58	5	5
1919653	1919669	17	22.29	25	26
1921245	1921249	5	12.80	16	16
1922720	1922930	211	0.61	0	6
1923759	1923778	20	55.70	60	61
1923998	1924341	344	10.12	3	128
1926826	1926920	95	10.72	10.5	24
1929660	1929661	2	13.00	26	26
1930430	1930485	56	10.20	10	16
1931362	1931483	122	0.65	0	2
1932483	1932658	176	16.36	16	33
1936089	1936349	261	0.83	1	3
1936650	1936654	5	8.60	11	13
1938104	1938109	6	10.67	13	13
1939541	1939746	206	1.97	1	8
1940734	1940873	140	4.99	5	9
1943178	1943219	42	29.12	29	41
1943682	1943703	22	9.82	11	12
1944490	1944498	9	27.89	32	32
1944951	1945063	113	41.04	45	65
1945349	1945746	398	8.12	1	92
1946113	1946119	7	34.43	37.5	46
1948409	1948526	118	0.13	0	1
1949310	1949424	115	14.55	14	29
1950379	1950469	91	0.24	0	1
1953044	1953137	94	37.48	22	80
1954446	1954460	15	24.33	23.5	33
1955106	1955400	295	3.24	2	12
1956766	1956769	4	10.50	14	14
1957388	1957442	55	12.69	14	16
1963056	1963057	2	2.50	5	5
1963694	1963837	144	9.40	9	21
1964825	1964829	5	30.20	38	38
1966462	1966635	174	20.60	17	50
1966948	1966964	17	63.65	64.5	78
1969331	1969631	301	5.69	6	24
1970934	1970951	18	41.22	43	55
1974968	1974972	5	38.40	49.5	50
1975639	1975695	57	2.79	1	7
1976065	1976197	133	19.26	15	33
1976417	1976585	169	42.79	43	86
1978764	1979014	251	3.43	1	12
1979963	1980236	274	23.76	27	74
1984180	1984496	317	14.67	4	105
1984980	1985068	89	8.69	9	20
1987561	1987722	162	7.65	5	22
1989670	1989681	12	14.17	15	19
1990468	1990494	27	12.85	13	17
1992509	1992530	22	26.36	26	36
1996522	1996527	6	0.83	1	1
1996795	1996805	11	8.55	9	12
1997553	1997555	3	6.00	9	9
1998290	1998301	12	35.83	41	42
1999367	1999807	441	0.83	1	3
2000060	2000165	106	0.64	1	1
2002178	2002199	22	0.55	1	1
2003205	2004189	985	6.06	2	47
2005468	2005654	187	24.54	10	111
2006849	2007375	527	8.46	5	49
2009956	2009975	20	5.45	6	10
2010369	2010420	52	22.06	23	45
2011710	2011769	60	5.53	5	12
2012703	2012996	294	2.00	1	7
2013489	2014052	564	358.97	13	1968
2016648	2016662	15	0.93	1	1
2020886	2020921	36	3.97	4	6
2021915	2022053	139	3.35	2	8
2022444	2022743	300	27.93	13	186
2024220	2024507	288	0.84	1	2
2027085	2027091	7	23.71	28	29
2030320	2030528	209	2.13	2	4
2031600	2031717	118	3.30	2	8
2032270	2032319	50	4.56	3	10
2033208	2033352	145	0.25	0	1
2034640	2034643	4	6.00	8	8
2036565	2036566	2	10.00	20	20
2038358	2038419	62	5.85	6	10
2040387	2040509	123	22.17	19	40
2041527	2041556	30	15.17	13	23
2042241	2042568	328	3.52	3	13
2043736	2043749	14	45.43	47	57
2044932	2045065	134	18.19	6	151
2045384	2045395	12	22.08	24	26
2049772	2049784	13	20.77	20.5	29
2050691	2050789	99	9.12	10	22
