EMBL	Experiment_Name	Correlation	Core_On	Core_Rfam_On	Concordance	Coverage
AE000511.1	SRP001481/SRR034175	-0.002161399	0	0.119048	0.0228395	0.0016
AE000511.1	SRP001481/SRR034176	-0.002115422	0.102564	0.261905	0.10216	0.0069
AE000511.1	SRP001481/SRR034177	-0.002070954	0.153846	0.333333	0.123457	0.0060
AE000511.1	SRP001481/SRR034178	-0.003103298	0.025641	0.261905	0.0308642	0.0033
AE000511.1	SRP001481/SRR034179	-0.003499142	0	0.380952	0.067284	0.0067
AE000511.1	SRP001481/SRR034180	-0.002490789	0.025641	0.47619	0.0709877	0.0079
AE000511.1	SRP001481/SRR034181	-0.001334673	0.025641	0.0952381	0.0240741	0.0026
AE000511.1	SRP001481/SRR034182	-0.001364467	0.025641	0.0952381	0.0419753	0.0031
AE000511.1	SRP001481/SRR034183	-0.0007867954	0	0.0238095	0.00555556	0.0003
AE000511.1	SRP001481/SRR034185	-0.002084183	0	0.119048	0.025	0.0038
AE000511.1	SRP001481/SRR034186	-0.002254999	0	0.190476	0.0296296	0.0046
AE000511.1	SRP001481/SRR034187	-0.001911326	0	0.047619	0.00617284	0.0004
AE000511.1	SRP001481/SRR034193	-0.001049482	0	0.0238095	0.0101852	0.0011
AE000511.1	SRP001481/SRR034195	-0.001232268	0	0.119048	0.0212963	0.0035
AE000511.1	SRP001481/SRR034197	-0.001064963	0	0.119048	0.0320988	0.0030
AE000511.1	SRP001481/SRR034198	-0.001981894	0	0.0952381	0.0160494	0.0011
AE000511.1	SRP001481/SRR034199	-0.002080377	0.025641	0.309524	0.0345679	0.0049
AE000511.1	SRP001481/SRR034201	-0.001515054	0	0.285714	0.0410494	0.0051
AE000511.1	SRP001481/SRR034204	-0.001471259	0	0.0714286	0.05	0.0024
AE000511.1	SRP001481/SRR034207	-0.005414242	0.0512821	0.214286	0.0712963	0.0080
AE000511.1	SRP001481/SRR034208	-0.0009325352	0	0.0952381	0.00555556	0.0011
AE000511.1	SRP001481/SRR034209	-0.002343035	0	0.119048	0.0141975	0.0032
CP000249.1	SRP007469/SRR308710	0.9697861	0.625	0.804348	0.94055	0.9231
CP000249.1	SRP007469/SRR308711	0.9635485	0.15	0.826087	0.964998	0.9541
CP000249.1	SRP007469/SRR308712	0.5470893	0.025	0.913043	0.9697	0.2781
U00096.2	SRP011371/SRR441579	0.9477812	0.675	0.168421	0.0924156	0.0509
U00096.2	SRP011371/SRR441580	0.822581	0.95	0.621053	0.634709	0.3230
U00096.2	SRP011371/SRR441581	0.9653412	0.925	0.694737	0.513217	0.1872
U00096.2	SRP011371/SRR441582	0.8503406	0.925	0.6	0.600549	0.3012
U00096.2	SRP011371/SRR441583	0.8976103	0.925	0.705263	0.654331	0.5988
U00096.2	SRP011371/SRR441584	0.8514648	0.95	0.6	0.621391	0.3386
U00096.2	SRP011371/SRR441585	0.8114171	0.925	0.736842	0.68107	0.6023
U00096.2	SRP011371/SRR441586	0.807112	0.925	0.6	0.531415	0.1405
U00096.2	SRP011371/SRR441587	0.9853032	0.825	0.0421053	0.127288	0.0415
CP000800.1	SRP008239/SRR345260	0.338195	1	0.469388	0.7007	0.7340
CP000800.1	SRP008239/SRR345261	0.7189531	1	0.581633	0.661321	0.6573
CP000721.1	SRP008141/SRR342473	0.8167255	0.85	0.887755	0.421445	0.0572
CP000721.1	SRP008141/SRR342474	0.813354	0.775	0.816327	0.399364	0.0550
CP000721.1	SRP008141/SRR342475	0.7993838	0.85	0.908163	0.495048	0.0717
CP000721.1	SRP008141/SRR342476	0.8098511	0.75	0.887755	0.445888	0.0656
CP000721.1	SRP008141/SRR342477	0.7599273	0.8	0.693878	0.444798	0.0638
CP000721.1	SRP008141/SRR342478	0.8477419	0.825	0.77551	0.576556	0.1047
FN543502.1	ERP000493/ERR026449	0.07382894	0.975	0.78022	0.736592	0.2194
FN543502.1	ERP000493/ERR026450	0.1698176	1	0.846154	0.715725	0.3433
AE001363.1	SRP004041/SRR071140	-0.002269501	0	0.047619	0.00404131	0.0020
AE001363.1	SRP004041/SRR071141	-0.006398329	0	0.119048	0.0426583	0.0038
AE001363.1	SRP004041/SRR071142	-0.003663308	0	0.0952381	0.0157162	0.0030
AE001363.1	SRP004041/SRR071143	-0.002622946	0	0.0952381	0.0206556	0.0033
AE001363.1	SRP004041/SRR071144	-0.003711596	0	0.142857	0.0556803	0.0045
AE001363.1	SRP004041/SRR071145	-0.002401681	0	0.0714286	0.0139201	0.0022
AE001363.1	SRP004041/SRR071146	-0.001151284	0	0.047619	0.00179614	
AE001363.1	SRP004041/SRR071147	-0.002871534	0	0.0238095	0.012573	0.0007
AE001363.1	SRP004041/SRR071148	-0.001351012	0	0.0238095	0.00449035	0.0003
AE001363.1	SRP004041/SRR071149	-0.001234962	0	0.0238095	0.00359228	
AE001363.1	SRP004041/SRR071150	-0.00640495	0.0769231	0.142857	0.143242	0.0057
AE001363.1	SRP004041/SRR071151	-0.003919312	0.025641	0.0952381	0.0323305	0.0021
AE001363.1	SRP004041/SRR071152	-0.009294953	0.0512821	0.0714286	0.0875617	0.0035
AE001363.1	SRP004041/SRR071153	-0.007359316	0	0.119048	0.0704984	0.0033
AE001363.1	SRP004041/SRR071154	-0.007982252	0.0512821	0.0714286	0.0799282	0.0040
AE001363.1	SRP004041/SRR071155	-0.002797532	0.025641	0.0714286	0.0251459	0.0035
AE001363.1	SRP004041/SRR071156	-0.002757004	0	0.0238095	0.00808262	0.0003
AE001363.1	SRP004041/SRR071157	-0.003842626	0.025641	0.0714286	0.0287382	0.0035
AE001363.1	SRP004041/SRR071158	-0.003589634	0	0.119048	0.0188595	0.0016
AE001363.1	SRP004041/SRR071159	-0.003102145	0	0.0714286	0.0148181	0.0019
CP001504.2	SRP011470/SRR445017	0.8538475	0.975	0.71875	0.687117	0.4671
CP001504.2	SRP011470/SRR445017	0.8850377	0.0789474	0.42	0.628044	0.4671
CP001504.2	SRP011470/SRR445018	0.8596994	0.95	0.625	0.719398	0.5082
CP001504.2	SRP011470/SRR445018	0.8839056	0.0789474	0.34	0.689732	0.5082
CP001504.2	SRP011470/SRR445019	0.8539039	0.975	0.625	0.72641	0.4607
CP001504.2	SRP011470/SRR445019	0.8808044	0.0789474	0.34	0.650365	0.4607
CP001504.2	SRP011470/SRR445020	0.8614403	0.875	0.625	0.683611	0.2335
CP001504.2	SRP011470/SRR445020	0.8808553	0.105263	0.42	0.630276	0.2335
CP001504.2	SRP011470/SRR445021	0.8580245	0.95	0.828125	0.679813	0.2318
CP001504.2	SRP011470/SRR445021	0.8768318	0.0526316	0.34	0.659497	0.2318
CP001504.2	SRP011470/SRR445022	0.8591898	0.95	0.71875	0.717207	0.2683
CP001504.2	SRP011470/SRR445022	0.8789318	0.0789474	0.34	0.448661	0.2683
CP001503.2	SRP011470/SRR445017	0.8538475	0.975	0.71875	0.687117	0.4671
CP001503.2	SRP011470/SRR445017	0.8850377	0.0789474	0.42	0.628044	0.4671
CP001503.2	SRP011470/SRR445018	0.8596994	0.95	0.625	0.719398	0.5082
CP001503.2	SRP011470/SRR445018	0.8839056	0.0789474	0.34	0.689732	0.5082
CP001503.2	SRP011470/SRR445019	0.8539039	0.975	0.625	0.72641	0.4607
CP001503.2	SRP011470/SRR445019	0.8808044	0.0789474	0.34	0.650365	0.4607
CP001503.2	SRP011470/SRR445020	0.8614403	0.875	0.625	0.683611	0.2335
CP001503.2	SRP011470/SRR445020	0.8808553	0.105263	0.42	0.630276	0.2335
CP001503.2	SRP011470/SRR445021	0.8580245	0.95	0.828125	0.679813	0.2318
CP001503.2	SRP011470/SRR445021	0.8768318	0.0526316	0.34	0.659497	0.2318
CP001503.2	SRP011470/SRR445022	0.8591898	0.95	0.71875	0.717207	0.2683
CP001503.2	SRP011470/SRR445022	0.8789318	0.0789474	0.34	0.448661	0.2683
AE016877.1	ERR031734/ERR031734	0.797656	0.9	0.684211	0.261012	0.0954
AE017194.1	ERR031734/ERR031734	0.8046342	0.9	0.718447	0.272166	0.0954
AE017225.1	GSE13543/GSM343458_1	0.6130392	0.975	0.514851	0.605467	0.3434
AE017225.1	GSE13543/GSM343459_2A	0.7268219	0.925	0.158416	0.485962	0.1124
AE017225.1	GSE13543/GSM343459_2B	0.7157102	0.95	0.168317	0.606206	0.1849
AE017225.1	GSE13543/GSM343460_5	0.6088972	0.975	0.158416	0.609716	0.4187
AE017225.1	GSE13543/GSM343461_6A	0.6061916	0.875	0.227723	0.5785	0.2533
AE017225.1	GSE13543/GSM343461_6B	0.6069267	0.9	0.217822	0.601404	0.2701
AE017225.1	GSE13543/GSM343462_7	0.7614683	0.8	0.108911	0.410972	0.1135
AE017225.1	GSE13543/GSM343463_8A	0.7488464	0.825	0.138614	0.510713	0.0986
AE017225.1	GSE13543/GSM343463_8B	0.7124239	0.825	0.118812	0.524012	0.1018
AE017225.1	SRP001274/SRR028684	0.6031085	0.925	0.60396	0.360916	0.0839
AE017225.1	SRP001274/SRR028685	0.602798	0.925	0.50495	0.359438	0.0852
AE017225.1	SRP001274/SRR028686	0.606561	0.925	0.544554	0.369782	0.0884
AE017225.1	SRP001274/SRR028687	0.7792352	0.9	0.356436	0.323421	0.0661
AE017225.1	SRP001274/SRR028688	0.7785075	0.9	0.465347	0.321943	0.0640
AE017225.1	SRP001274/SRR028689	0.780284	0.875	0.356436	0.311969	0.0614
